,Tomato,Paprika,Cucumber,Zuccini,Lettuce,Carrot,Onion,Raddish,Oregano,Basil,Thyme,Parsley,Chives,Rosemary,Sage,Dill,Coriander,Mint
Tomato,-1,-1,1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,0,0,-1,-1
Paprika,-1,-1,-1,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
Cucumber,1,-1,-1,1,-1,0,-1,-1,0,0,0,-1,0,0,0,-1,0,0
Zuccini,0,0,1,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
Lettuce,-1,0,-1,0,-1,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1,-1
Carrot,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,-1
Onion,-1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0
Raddish,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,0
Oregano,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
Basil,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0
Thyme,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Parsley,-1,0,-1,-1,1,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,0
Chives,-1,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,1,0
Rosemary,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0
Sage,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0
Dill,0,0,-1,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,0
Coriander,-1,0,0,0,-1,0,0,0,0,-1,0,-1,1,0,0,-1,-1,0
Mint,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1
